Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Grant Williams,Charlotte Hornets,SF,6-6,236,"Nov 30, 1998",26,WME Sports,"Bill Duffy
Erik Kabe","Charlotte Hornets, Jul 11, 2023",5
Jalen Williams,Oklahoma City Thunder,G-F,6-5,211,"Apr 14, 2001",24,WME Sports,"Bill Duffy
Justin Haynes","Oklahoma City Thunder, Jul 1, 2022",2
Jaylin Williams,Winnipeg Sea Bears,PF,6-8,245,"Jul 26, 2000",24,One Motive Sports,"Drew Kelso
Vlad Moldoveanu",Unrestricted Free Agent,0
Jaylin Williams,Oklahoma City Thunder,PF,6-9,240,"Jun 29, 2002",23,One Motive Sports,"Sean Kennedy
Marcus Monk","Oklahoma City Thunder, Jun 29, 2025",2
Nate Williams Jr.,Houston Rockets,SG,6-5,205,"Feb 12, 1999",26,,"Evernard Billy Davis
Corey A. Simon","Houston Rockets, Mar 2, 2025",2
Vincent Williams Jr.,Memphis Grizzlies,SG,6-4,205,"Aug 30, 2000",24,Klutch Sports Group,"Mike Kneisley
Odell Witherspoon III","Memphis Grizzlies, Jan 10, 2024",2
Kenrich Williams,Oklahoma City Thunder,G-F,6-6,210,"Dec 2, 1994",30,Pensack Sports,"Adam Pensack
Ben Pensack","Oklahoma City Thunder, Jul 20, 2022",6
Malik Williams,Sioux Falls Skyforce,C,6-11,250,"Aug 26, 1998",26,Seros Partners,Brian Jungreis,Unrestricted Free Agent,1
Mark Williams,Charlotte Hornets,C,7-0,240,"Dec 16, 2001",23,Excel Sports Management,"Jordan Gertler
Jeff Schwartz","Charlotte Hornets, Jul 2, 2022",2
Patrick Williams,Chicago Bulls,SF,6-7,215,"Aug 26, 2001",23,Wasserman,"Thaddeus Foucher
Joe Smith","Chicago Bulls, Jul 6, 2024",4
Robert Williams,Portland Trail Blazers,C-F,6-9,249,"Oct 17, 1997",27,LIFT Sports Management,Kevin Bradbury,"Portland Trail Blazers, Aug 24, 2021",6
Ziaire Williams,Brooklyn Nets,PF,6-9,185,"Sep 12, 2001",23,CAA Sports,Aaron Mintz,"Brooklyn Nets, Aug 8, 2021",3
Nigel Williams-Goss,Zalgiris,SG,6-3,190,"Sep 16, 1994",30,Wasserman,Thaddeus Foucher,Unrestricted Free Agent,1
Zion Williamson,New Orleans Pelicans,SF,6-6,284,"Jul 6, 2000",24,WME Sports,Bill Duffy,"New Orleans Pelicans, Jul 6, 2022",5
Derek Willis,Paris Basketball,PF,6-9,230,"Jun 21, 1995",30,,Guillermo Bermejo,Unrestricted Free Agent,0
Jalen Wilson,Brooklyn Nets,SF,6-6,220,"Nov 4, 2000",24,WME Sports,"Bill Duffy
Justin Haynes","Brooklyn Nets, Mar 1, 2024",1
Jamil Wilson,Capitanes de Arecibo,SF,6-7,229,"Nov 21, 1990",34,,"Steve McCaskill
Nikolaos Spanos
Happy David Walters",Unrestricted Free Agent,1
Dylan Windler,Perth,G-F,6-7,196,"Sep 22, 1996",28,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Atlanta Hawks, Mar 4, 2024 Two-Way",5
Justise Winslow,Wisconsin Herd,F-G,6-6,222,"Mar 26, 1996",29,WME Sports,Joe Branch,Unrestricted Free Agent,9
Todd Withers,Otago Nuggets,SG,6-7,216,"May 6, 1996",29,Lighthouse Sports Management,Daniel Moldovan,Unrestricted Free Agent,0
Isaiah Wong,Zalgiris,PG,6-3,185,"Jan 28, 2001",24,Career Sports and Entertainment (CSE),Darrell Comer,Unrestricted Free Agent,1
Moses Wood,Valley Suns,SF,6-8,210,"May 3, 1999",26,,Nathan Pezeshki,Unrestricted Free Agent,0
Robert Woodard II,Delaware Blue Coats,SG,6-7,230,"Sep 22, 1999",25,Priority Sports & Entertainment,Kieran Piller,"San Antonio Spurs, Mar 4, 2022 Two-Way",2
Delon Wright,New York Knicks,SG,6-5,185,"Apr 26, 1992",33,Wasserman,Greg Lawrence,"New York Knicks, Jul 6, 2024",9
Justin Wright-Foreman,Iraklis BC,PG,6-0,190,"Oct 27, 1997",27,Arete Sports Agency,Andre Buck,"Utah Jazz, Jul 16, 2019 Two-Way",1
Guerschon Yabusele,Philadelphia Sixers,PF,6-8,265,"Dec 17, 1995",29,CAA Sports,"Richie Felder
Olivier Mazet
Drew Morrison","Philadelphia Sixers, Aug 29, 2024",2
Gabe York,Atleticos de San German,PG,6-3,190,"Aug 2, 1993",31,,Ronnie Zeidel,"Indiana Pacers, Mar 30, 2023 Two-Way",2
Jahmir Young,Chicago Bulls,PG,6-1,185,"Oct 7, 2000",24,Rize Management,Scott Wong Nichols,"Chicago Bulls, Feb 19, 2025 Two-Way",0
Joe Young,Beirut Club,PG,6-2,180,"Jun 27, 1992",33,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,3
Trae Young,Atlanta Hawks,PG,6-1,164,"Sep 19, 1998",26,CAA Sports,"Austin Brown
Aaron Mintz
Drew Morrison
Rayford Young","Atlanta Hawks, Aug 6, 2021",6
Paul Zipser,MLP Academics Heidelberg,SF/PF,6-8,226,"Feb 18, 1994",31,Excel Sports Management,"Mike Lindeman
Misko Raznatovic",Unrestricted Free Agent,2
Ivica Zubac,Los Angeles Clippers,C,7-0,240,"Mar 18, 1997",28,Excel Sports Management,Jared Mucha,"Los Angeles Clippers, Sep 3, 2024",8
